col_1,col_2,col_3
confer,6,0.808
conferees,9,0.250
conference,10,1.000
conferences,11,1.000
conference's,12,1.000
conferment,10,0.818
conferred,9,1.000
conferring,10,0.893
confers,7,0.852
confess,7,1.000
confessed,9,1.000
confesses,9,0.964
confessing,10,1.000
confession,10,1.000
confessional,12,1.000
confessionals,13,1.000
confessions,11,0.962
confessor,9,1.000
confetti,8,0.960
confidant,9,0.815
confidante,10,0.840
confide,7,0.963
confided,8,1.000
confidence,10,1.000
confidences,11,0.731
confident,9,0.923
confidential,12,1.000
confidentiality,15,0.815
confidentially,14,0.821
confiding,9,1.000
configuration,13,0.963
configurations,14,0.963
confine,7,0.963
confined,8,1.000
confinement,11,0.929
confinements,12,1.000
confines,8,0.926
confining,9,1.000
confirm,7,1.000
confirmation,12,0.964
confirmed,9,0.963
confirming,10,0.963
confirms,8,0.964
confiscate,10,0.929
confiscated,11,0.846
confiscating,12,0.880
confiscation,12,0.870
conflagration,13,0.542
conflict,8,1.000
conflicting,11,1.000
conflicts,9,1.000
conflict's,10,1.000
confluence,10,0.821
confluent,9,0.815
conform,7,1.000
conformance,11,0.958
conformation,12,1.000
conformations,13,0.960
conformed,9,1.000
conformist,10,1.000
conformists,11,0.963
conformity,10,1.000
conforms,8,1.000
confound,8,1.000
confounded,10,0.963
confounding,11,1.000
confront,8,0.964
confrontation,13,0.893
confrontations,14,0.964
confronted,10,1.000
confronting,11,1.000
confronts,9,0.960
Confucian,9,0.727
Confucianism,12,0.800
Confucius,9,0.955
confuse,7,1.000
confused,8,1.000
confuses,8,1.000
confusing,9,1.000
confusion,9,1.000
confusions,10,1.000
conga,5,0.960
congeal,7,0.875
congealed,9,0.880
congenial,9,0.840
congeniality,12,0.885
congenital,10,0.773
congest,7,1.000
congested,9,0.964
congestion,10,1.000
congestive,10,1.000
conglomerate,12,0.964
conglomeration,14,0.810
Congo,5,1.000
Congo's,7,1.000
congrats,8,1.000
congratulate,12,1.000
congratulated,13,1.000
congratulation,14,0.929
congratulations,15,1.000
congratulatory,14,0.926
congregate,10,0.964
congregated,11,1.000
congregation,12,0.926
congregational,14,0.929
Congregationalism,17,0.684
Congregationalist,17,0.650
Congregationalists,18,0.591
congregations,13,0.880
congress,8,1.000
congresses,10,0.920
congressional,13,1.000
congressman,11,0.964
congressman's,13,0.963
congressmen,11,0.964
congresswoman,13,1.000
congresswomen,13,0.929
congruence,10,0.955
congruent,9,0.960
congruity,9,0.821
congruous,9,0.769
conic,5,0.846
conical,7,0.667
conifer,7,0.720
conjecture,10,0.893
conjectured,11,0.929
conjectures,11,0.929
conjoin,7,0.958
conjoined,9,1.000
conjoint,8,0.960
conjugal,8,0.682
conjugate,9,0.957
conjugated,10,0.929
conjugates,10,1.000
conjugating,11,0.893
conjugation,11,0.852
conjunct,8,0.964
conjunction,11,1.000
conjunctions,12,0.964
conjunctive,11,0.750
conjunctivitis,14,0.800
conjuncture,11,0.963
conjuration,11,0.760
conjure,7,0.885
conjured,8,0.920
conjures,8,0.923
conk,4,0.920
connect,7,0.964
connected,9,1.000
Connecticut,11,1.000
Connecticut's,13,0.963
connecting,10,1.000
connection,10,1.000
connections,11,1.000
connective,10,1.000
connects,8,0.964
conned,6,0.923
Connie,6,0.964
conning,7,0.667
connivance,10,0.636
connive,7,0.769
conniver,8,0.652
connoisseur,11,0.960
connoisseurs,12,0.947
Connor,6,1.000
connotation,11,0.875
connotations,12,1.000
connotative,11,0.875
connote,7,0.615
connotes,8,0.579
connubial,9,0.222
conquer,7,1.000
conquered,9,1.000
conquering,10,1.000
conqueror,9,0.962
conquerors,10,0.964
conquest,8,0.963
conquests,9,1.000
conquistador,12,0.889
Conrad,6,0.964
cons,4,0.964
consanguinity,13,0.278
conscience,10,0.963
consciences,11,0.522
conscientious,13,0.833
conscionable,12,0.300
conscious,9,0.964
consciously,11,0.920
consciousness,13,0.960
conscript,9,0.760
conscripted,11,0.962
conscription,12,1.000
consecrate,10,0.960
consecration,12,0.815
consecutive,11,0.929
consensus,9,0.846
consent,7,1.000
consented,9,1.000
consenting,10,0.893
consequence,11,1.000
consequences,12,1.000
consequent,10,0.852
consequential,13,0.960
consequently,12,0.920
conservation,12,0.885
conservationist,15,0.630
conservatism,12,0.600
conservative,12,0.962
conservatives,13,0.929
conservatory,12,0.923
conserve,8,1.000
conserves,9,0.963
conserving,10,1.000
consider,8,1.000
considerable,12,0.964
considerably,12,1.000
considerate,11,0.966
considerately,13,0.615
consideration,13,1.000
considerations,14,1.000
considered,10,1.000
considering,11,1.000
considers,9,1.000
consign,7,0.885
consigned,9,0.923
consignee,9,0.556
consignment,11,0.957
consist,7,0.962
consisted,9,1.000
consistence,11,0.960
consistency,11,0.962
consistent,10,1.000
consistently,12,0.963
consisting,10,1.000
consists,8,1.000
consolation,11,0.964
console,7,0.926
consoled,8,0.960
consoles,8,0.963
consolidate,11,1.000
consolidated,12,0.963
consolidating,13,0.963
consolidation,13,0.917
consoling,9,1.000
consomme,8,0.222
consonance,10,0.762
consonant,9,0.917
consonantal,11,0.200
consonants,10,0.926
consort,7,1.000
consorted,9,0.964
consorting,10,1.000
consortium,10,0.680
conspicious,11,0.720
conspicuous,11,0.880
conspicuously,13,0.857
conspiracies,12,1.000
conspiracy,10,1.000
conspirator,11,0.963
conspiratorial,14,0.571
conspirators,12,0.889
conspire,8,1.000
conspired,9,0.964
conspires,9,1.000
constable,9,0.885
constables,10,0.966
constable's,11,0.926
constancy,9,0.852
constant,8,0.963
Constantine,11,0.952
Constantinople,14,0.852
constantly,10,1.000
constants,9,0.960
constellation,13,1.000
constellations,14,1.000
constellation's,15,0.960
consternate,11,0.810
consternation,13,0.783
constipate,10,0.962
constipation,12,1.000
constituencies,14,0.636
constituency,12,0.714
constituent,11,0.720
constituents,12,0.826
constitute,10,1.000
constituted,11,0.846
constitutes,11,0.929
constituting,12,0.692
constitution,12,0.962
constitutional,14,1.000
constitutionalism,17,0.960
constitutionalist,17,0.769
constitutionalize,17,0.760
constitutions,13,0.926
constrain,9,1.000
constrained,11,0.923
constraining,12,1.000
constraint,10,0.958
constrict,9,1.000
constricted,11,0.963
constricting,12,1.000
constriction,12,1.000
constrictions,13,0.964
constrictor,11,1.000
constrictors,12,1.000
construct,9,0.962
constructed,11,1.000
constructing,12,0.931
construction,12,1.000
constructional,14,1.000
constructions,13,1.000
constructive,12,1.000
constructively,14,1.000
constructor,11,1.000
construe,8,1.000
construed,9,0.870
construing,10,0.957
consul,6,0.923
consular,8,0.708
consulate,9,0.720
consulship,10,0.667
consult,7,1.000
consultant,10,1.000
consultants,11,0.964
consultation,12,0.852
consultations,13,0.926
consultative,12,0.783
consulted,9,1.000
consulting,10,1.000
consume,7,1.000
consumed,8,0.955
consumer,8,0.960
consumers,9,1.000
consumer's,10,0.963
consumes,8,1.000
consuming,9,1.000
consummate,10,0.947
consummated,11,0.870
consummately,12,0.682
consummation,12,0.864
consumption,11,1.000
consumptive,11,0.913
contact,7,1.000
contacted,9,0.857
contacting,10,0.962
contacts,8,0.964
contagion,9,0.556
contagious,10,1.000
contain,7,0.963
contained,9,1.000
container,9,1.000
containers,10,1.000
containing,10,1.000
containment,11,1.000
contains,8,1.000
contaminate,11,1.000
contaminated,12,0.964
contaminating,13,1.000
contamination,13,0.889
contaminator,12,1.000
contemplate,11,0.885
contemplated,12,1.000
contemplates,12,0.852
contemplating,13,0.875
contemplation,13,0.926
contemplative,13,0.880
contemporaries,14,0.923
contemporary,12,0.966
contempt,8,0.962
contemptible,12,0.846
contemptuous,12,0.926
contend,7,1.000
contended,9,0.963
contender,9,1.000
contending,10,0.962
contends,8,1.000
content,7,1.000
contented,9,0.963
contentedly,11,0.800
contenting,10,0.923
contention,10,1.000
contentions,11,0.917
contentious,11,0.923
contentment,11,0.926
contents,8,0.808
contest,7,1.000
contestant,10,1.000
contestants,11,0.923
contested,9,1.000
contests,8,0.963
context,7,1.000
contexts,8,0.963
contiguity,10,0.304
contiguous,10,0.609
continence,10,0.889
continent,9,0.778
continental,11,0.962
continents,10,0.923
contingencies,13,0.957
contingency,11,0.826
contingent,10,0.923
contingents,11,0.875
continual,9,0.913
continually,11,0.963
continuance,11,0.913
continuation,12,1.000
continue,8,1.000
continued,9,1.000
continues,9,1.000
continuing,10,1.000
continuities,12,0.789
continuity,10,0.731
continuous,10,1.000
continuously,12,1.000
continuum,9,0.808
contort,7,0.963
contorted,9,0.857
contortion,10,0.808
contour,7,1.000
contouring,10,0.889
contours,8,1.000
contraband,10,1.000
contrabass,10,0.654
contraception,13,0.963
contraceptive,13,1.000
contraceptives,14,1.000
contract,8,1.000
contracted,10,0.963
contractile,11,0.762
contracting,11,1.000
contraction,11,0.923
contractor,10,0.880
contractors,11,0.926
contractor's,12,1.000
contracts,9,0.929
contractual,11,0.929
contradict,10,1.000
contradicted,12,0.964
contradiction,13,1.000
contradictions,14,1.000
contradictorily,15,0.692
contradictory,13,0.926
contradicts,11,0.926
contradistinction,17,0.368
contraption,11,0.846
contraptions,12,0.962
contrarily,10,0.889
contrary,8,0.963
contrast,8,0.964
contrasted,10,0.964
contrasting,11,1.000
contrasts,9,1.000
contribute,10,0.889
contributed,11,0.929
contributes,11,0.889
contributing,12,0.889
contribution,12,1.000
contributions,13,0.929
contributor,11,1.000
contributors,12,0.963
contributory,12,0.727
contrite,8,0.926
contrition,10,0.591
contrivance,11,0.636
contrivances,12,0.773
contrive,8,1.000
contrived,9,1.000
contriving,10,1.000
control,7,1.000
controlled,10,1.000
controller,10,1.000
controllers,11,1.000
controller's,12,1.000
controlling,11,1.000
controls,8,1.000
controversial,13,1.000
controversialists,17,0.435
controversies,13,1.000
controversy,11,1.000
controvert,10,0.917
contumely,9,0.438
contusion,9,0.952
contusions,10,0.909
conundrum,9,0.696
convalescence,13,0.667
convalescent,12,0.800
convalescing,12,0.652
convection,10,0.963
convector,9,0.929
convene,7,0.833
convened,8,0.870
convenience,11,0.960
conveniences,12,0.962
convenient,10,1.000
conveniently,12,0.957
convening,9,0.909
convent,7,0.852
convention,10,1.000
conventional,12,1.000
conventionality,15,0.840
conventionalized,16,1.000
conventionally,14,0.885
conventions,11,0.962
converge,8,1.000
converged,9,1.000
convergence,11,1.000
convergent,10,0.929
conversant,10,0.720
conversation,12,1.000
conversational,14,0.926
conversationalist,17,1.000
conversations,13,1.000
converse,8,0.962
conversely,10,0.962
conversing,10,0.964
conversion,10,0.857
conversions,11,0.880
convert,7,1.000
converted,9,1.000
converter,9,0.964
convertible,11,1.000
converting,10,1.000
converts,8,0.962
convex,6,0.852
convexity,9,1.000
convey,6,0.926
conveyance,10,0.926
conveyed,8,1.000
conveyer,8,0.962
conveying,9,0.966
conveyor,8,0.929
conveys,7,1.000
convict,7,1.000
convicted,9,1.000
convicting,10,0.957
conviction,10,1.000
convictions,11,0.963
convicts,8,1.000
convict's,9,1.000
convince,8,1.000
convinced,9,1.000
convincing,10,1.000
convincingly,12,1.000
convocation,11,0.917
convocations,12,0.875
convoke,7,0.852
convolute,9,0.667
convoluted,10,0.885
convolution,11,0.920
convoy,6,0.821
convulse,8,0.846
convulsed,9,0.929
convulsion,10,0.929
convulsions,11,1.000
convulsive,10,0.917
convulsively,12,0.963
coo,3,0.840
cooing,6,0.929
cook,4,1.000
cookbook,8,1.000
cooked,6,1.000
cooker,6,1.000
cookie,6,1.000
cookies,7,1.000
cooking,7,1.000
cookout,7,0.964
cooks,5,1.000
cook's,6,0.964
cooky,5,0.880
cool,4,1.000
coolant,7,1.000
cooled,6,0.963
cooler,6,1.000
coolers,7,1.000
coolest,7,1.000
coolheaded,10,0.963
Coolidge,8,0.926
Coolidge's,10,0.846
cooling,7,1.000
coolly,6,1.000
coolness,8,1.000
cools,5,1.000
coop,4,0.880
cooped,6,0.926
cooperate,9,0.929
cooperated,10,0.963
cooperates,10,1.000
cooperating,11,0.963
cooperation,11,0.964
cooperative,11,1.000
cooperatives,12,0.926
coops,5,1.000
coordinate,10,1.000
coordinated,11,0.929
coordinates,11,1.000
coordinating,12,1.000
coordination,12,1.000
coordinator,11,0.926
cop,3,1.000
cope,4,1.000
Copenhagen,10,0.960
Copernican,10,0.682
Copernicus,10,0.952
copes,5,1.000
copied,6,0.964
copier,6,1.000
copies,6,1.000
copilot,7,0.920
coping,6,0.880
copings,7,0.821
copious,7,0.846
copiously,9,0.708
Copland,7,0.885
copper,6,1.000
copperhead,10,0.926
copperplate,11,0.963
coppersmith,11,1.000
cops,4,1.000
copulate,8,0.926
copulation,10,0.958
copy,4,1.000
copybook,8,1.000
copybooks,9,1.000
copycat,7,1.000
copying,7,0.963
copyright,9,1.000
copyrights,10,1.000
copywriter,10,1.000
coquetry,8,0.438
coral,5,0.964
cord,4,1.000
corded,6,0.963
cordial,7,0.929
cordiality,10,0.400
cords,5,1.000
corduroy,8,0.667
corduroys,9,0.852
core,4,1.000
corer,5,0.500
cores,5,1.000
corespondent,12,0.963
coriander,9,0.500
Corinth,7,0.870
Corinthian,10,0.852
Corinthians,11,0.826
cork,4,1.000
corked,6,1.000
corker,6,1.000
corkers,7,1.000
corks,5,1.000
corkscrew,9,1.000
cormorant,9,0.250
corn,4,1.000
cornbread,9,1.000
corncob,7,0.966
cornea,6,0.962
Cornell,7,1.000
corner,6,0.963
cornered,8,0.920
cornering,9,0.893
corners,7,1.000
cornerstone,11,1.000
cornet,6,0.571
cornfield,9,1.000
cornflake,9,0.964
cornflakes,10,1.000
cornflour,9,0.962
cornflower,10,0.963
corniest,8,0.893
corning,7,1.000
Cornish,7,1.000
cornmeal,8,1.000
corns,5,1.000
cornstarch,10,1.000
cornucopia,10,0.880
Cornwallis,10,0.923
corny,5,1.000
corollaries,11,0.818
corollary,9,0.696
corona,6,0.962
Coronado,8,0.722
coronaries,10,0.800
coronary,8,0.960
coronation,10,1.000
coroner,7,0.893
coroner's,9,0.929
coronet,7,0.789
corp,4,0.889
corporal,8,0.964
corporate,9,1.000
corporation,11,0.963
corporations,12,0.964
corporation's,13,1.000
corporeal,9,0.636
corps,5,0.846
corpse,6,1.000
corpses,7,0.929
corpulence,10,0.833
corpulent,9,0.864
corpus,6,0.926
corral,6,0.893
corralling,10,0.731
correct,7,1.000
corrected,9,1.000
correction,10,1.000
corrections,11,1.000
corrective,10,1.000
correctly,9,1.000
correctness,11,0.926
correlate,9,1.000
correlated,10,1.000
correlating,11,1.000
correlation,11,1.000
correlations,12,0.960
correlative,11,0.720
correlatively,13,0.500
correspond,10,1.000
corresponded,12,1.000
correspondence,14,1.000
correspondent,13,1.000
correspondents,14,1.000
corresponding,13,1.000
correspondingly,15,1.000
corresponds,11,0.966
corridor,8,0.929
corridors,9,1.000
corrigible,10,0.909
corroborate,11,0.720
corroborated,12,0.913
corroborating,13,0.800
corroboration,13,0.818
corroborator,12,0.731
corroborees,11,0.250
corrode,7,0.963
corroding,9,0.897
corrosion,9,0.964
corrosive,9,0.963
corrugate,9,0.636
corrugated,10,0.875
corrugations,12,0.800
corrupt,7,1.000
corrupted,9,1.000
corrupter,9,0.963
corruptible,11,1.000
corrupting,10,1.000
corruption,10,1.000
corrupts,8,1.000
corsage,7,0.893
corset,6,0.964
cortege,7,0.435
cortex,6,1.000
cortical,8,0.962
cortically,10,0.632
cortisone,9,0.923
corvette,8,1.000
cosily,6,0.692
cosine,6,0.833
cosmetic,8,1.000
cosmetician,11,0.889
cosmetics,9,1.000
cosmic,6,1.000
cosmical,8,0.964
cosmological,12,0.923
cosmologists,12,0.769
cosmology,9,0.857
cosmonaut,9,0.682
cosmopolitan,12,0.929
cosmopolitanism,15,0.909
cosmos,6,0.963
cost,4,0.962
costing,7,0.889
costlier,8,0.692
costly,6,1.000
costs,5,0.929
costume,7,1.000
costumed,8,0.926
costumer,8,0.619
costumes,8,1.000
cosy,4,0.963
cot,3,1.000
cotangent,9,0.682
coterminous,11,0.400
cotilion,8,0.611
cottage,7,1.000
cottages,8,1.000
cotton,6,1.000
cottonmouth,11,0.964
cotton's,8,0.964
cottonseed,10,1.000
cottontail,10,0.964
couch,5,0.926
couched,7,0.926
couches,7,1.000
cougar,6,1.000
cough,5,1.000
coughed,7,1.000
coughing,8,1.000
could,5,0.963
couldn't,8,0.964
could've,8,0.963
coulomb,7,0.444
council,7,1.000
councillor,10,0.652
councilman,10,0.926
councils,8,1.000
council's,9,1.000
councilwoman,12,1.000
counsel,7,1.000
counseled,9,1.000
counseling,10,1.000
counsellor,10,0.963
counselor,9,1.000
counselors,10,1.000
count,5,1.000
countable,9,1.000
countdown,9,1.000
counted,7,1.000
countenance,11,0.960
counter,7,1.000
counteract,10,0.917
counteracted,12,1.000
counteracting,13,1.000
counteraction,13,0.923
counterattack,13,0.963
counterattraction,17,0.870
counterbalance,14,1.000
counterbalanced,15,1.000
counterbalancing,16,1.000
counterchallenge,16,0.926
counterclaim,12,1.000
counterclockwise,16,1.000
countered,9,1.000
counterespionage,16,0.588
counterfeit,11,0.929
counterfeiter,13,0.840
counterflow,11,1.000
counterintelligence,19,0.964
counterirritant,15,0.611
counterman,10,0.960
countermand,11,0.920
countermarch,12,0.840
countermeasure,14,1.000
counteroffensive,16,0.960
counteroffer,12,0.900
counterpart,11,1.000
counterparts,12,1.000
counterplot,11,1.000
counterpoint,12,1.000
counterproposal,15,0.929
counters,8,1.000
countersign,11,1.000
countervailing,14,0.957
countess,8,0.821
counties,8,0.929
counting,8,1.000
countinghouse,13,0.880
countless,9,1.000
countries,9,1.000
country,7,1.000
countryman,10,0.963
countrymen,10,0.962
country's,9,1.000
countryside,11,1.000
countrywide,11,0.963
countrywoman,12,1.000
counts,6,1.000
county,6,0.889
county's,8,0.958
coup,4,0.889
coupe,5,0.917
couple,6,1.000
coupled,7,1.000
coupler,7,0.920
couplers,8,0.923
couples,7,1.000
couple's,8,1.000
couplet,7,1.000
coupling,8,0.963
coupon,6,1.000
coupons,7,1.000
coups,5,0.786
courage,7,1.000
courageous,10,1.000
courageously,12,0.917
courier,7,1.000
course,6,1.000
courses,7,1.000
coursing,8,0.962
court,5,1.000
courted,7,0.966
courteous,9,0.923
courteously,11,0.875
courtesy,8,0.963
courthouse,10,1.000
courtier,8,0.391
courtiers,9,0.400
courting,8,1.000
courtliness,11,0.960
courtly,7,0.962
Courtney,8,1.000
courtroom,9,1.000
courts,6,1.000
court's,7,1.000
courtship,9,0.963
courtyard,9,1.000
courtyards,10,1.000
couscous,8,0.667
cousin,6,1.000
cousins,7,0.964
cousin's,8,1.000
couth,5,0.577
couture,7,0.810
cove,4,0.964
coven,5,0.704
covenant,8,0.960
covenants,9,0.893
Coventry,8,0.880
cover,5,1.000
coverage,8,1.000
coverall,8,0.852
covered,7,1.000
covering,8,1.000
coverings,9,0.963
coverlet,8,0.893
covers,6,1.000
covert,6,0.857
covertly,8,0.964
coves,5,0.966
covet,5,0.920
coveted,7,0.920
coveting,8,0.889
covetous,8,0.737
covetousness,12,0.765
cow,3,1.000
coward,6,1.000
cowardice,9,0.885
cowardly,8,1.000
coward's,8,1.000
cowbell,7,0.929
cowbird,7,0.963
cowbirds,8,1.000
cowboy,6,1.000
cowboys,7,1.000
cowboy's,8,1.000
cowcatcher,10,0.889
cower,5,1.000
cowering,8,1.000
cowgirl,7,1.000
cowhand,7,1.000
cowhands,8,1.000
cowherd,7,0.885
cowhide,7,1.000
cowl,4,0.815
cowlick,7,1.000
coworkers,9,1.000
cowpox,6,1.000
cows,4,1.000
cow's,5,1.000
cowshed,7,0.926
cowskin,7,0.963
coxswain,8,0.810
coy,3,0.964
coyly,5,0.808
coyness,7,1.000
coyote,6,1.000
coyotes,7,0.917
cozier,6,0.893
cozy,4,1.000
crab,4,1.000
crabapple,9,0.870
crabbed,7,0.929
crabby,6,1.000
crabgrass,9,1.000
crabs,5,0.962
crack,5,1.000
crackdown,9,1.000
cracked,7,1.000
cracker,7,1.000
crackers,8,1.000
cracking,8,0.929
crackle,7,0.963
crackled,8,1.000
crackles,8,0.962
crackling,9,1.000
crackpot,8,1.000
crackpots,9,1.000
cracks,6,0.964
crackup,7,0.964
cradle,6,1.000
cradled,7,1.000
cradles,7,0.963
craft,5,1.000
crafter,7,1.000
crafts,6,0.964
craftsman,9,1.000
craftsman's,11,1.000
craftsmanship,13,0.923
craftsmen,9,1.000
crafty,6,0.964
crag,4,0.857
craggy,6,0.960
crags,5,0.815
Craig,5,1.000
Craig's,7,1.000
cram,4,1.000
crammed,7,1.000
cramp,5,1.000
cramps,6,1.000
cranberries,11,1.000
cranberry,9,1.000
crane,5,1.000
cranelike,9,0.731
cranes,6,1.000
crane's,7,1.000
cranium,7,0.962
crank,5,1.000
crankshaft,10,0.963
cranky,6,1.000
crannies,8,0.846
cranny,6,0.963
crap,4,1.000
crappy,6,1.000
craps,5,0.963
crash,5,1.000
crashed,7,1.000
crasher,7,1.000
crashes,7,1.000
crashing,8,1.000
crass,5,1.000
crassness,9,0.731
crate,5,0.963
crater,6,0.962
craters,7,1.000
crates,6,1.000
cravat,6,0.407
crave,5,1.000
craved,6,1.000
craven,6,0.964
craving,7,1.000
crawfish,8,1.000
crawl,5,1.000
crawled,7,1.000
crawler,7,1.000
crawling,8,1.000
crawls,6,1.000
crawlspace,10,0.962
crayfish,8,1.000
crayon,6,1.000
crayons,7,1.000
craze,5,1.000
crazed,6,1.000
crazily,7,1.000
crazing,7,0.962
crazy,5,1.000
creak,5,1.000
creaked,7,0.960
creaking,8,1.000
creaks,6,1.000
creaky,6,1.000
cream,5,1.000
creamed,7,1.000
creamer,7,1.000
creamery,8,0.962
creams,6,1.000
creamy,6,0.913
crease,6,0.964
creased,7,1.000
creases,7,0.963
create,6,1.000
created,7,1.000
creates,7,0.963
creating,8,1.000
creation,8,1.000
creations,9,1.000
creation's,10,1.000
creative,8,1.000
creatively,10,0.852
creativeness,12,0.923
creativity,10,0.889
creator,7,1.000
creators,8,0.964
creature,8,0.920
creatures,9,1.000
credence,8,0.923
credentials,11,1.000
credibility,11,1.000
credible,8,0.966
credibly,8,0.607
credit,6,1.000
creditable,10,0.962
credited,8,0.964
creditor,8,1.000
creditors,9,0.964
credits,7,1.000
credo,5,0.630
credulous,9,0.885
credulousness,13,0.810
creed,5,1.000
creedal,7,0.714
creeds,6,1.000
creek,5,1.000
creeks,6,0.964
creep,5,1.000
creeper,7,1.000
creepers,8,1.000
creeping,8,1.000
creeps,6,1.000
creepy,6,1.000
cremate,7,0.958
cremated,8,1.000
cremation,9,1.000
crematorium,11,0.957
crematory,9,0.870
Creole,6,0.852
crepe,5,0.500
crept,5,1.000
crescendo,9,0.893
crescent,8,0.963
crest,5,1.000
crested,7,1.000
crestfallen,11,0.964
crests,6,1.000
cretaceous,10,0.739
cretin,6,0.643
crevasse,8,0.714
crevice,7,1.000
crevices,8,0.964
crew,4,1.000
crewman,7,0.964
crewmember,10,1.000
crewmen,7,1.000
crews,5,1.000
crew's,6,1.000
crib,4,1.000
cribbage,8,1.000
cribs,5,1.000
crick,5,0.964
cricket,7,1.000
cricketer,9,0.640
crickets,8,1.000
cried,5,1.000
crier,5,1.000
cries,5,1.000
crikey,6,0.762
crime,5,1.000
crimes,6,1.000
criminal,8,1.000
criminality,11,1.000
criminals,9,1.000
criminology,11,1.000
crimp,5,0.963
crimson,7,0.964
cringe,6,1.000
cringed,7,0.963
cringing,8,0.889
crinkle,7,1.000
crinkles,8,1.000
crinkly,7,0.929
crinoline,9,0.368
cripes,6,0.778
cripple,7,1.000
crippled,8,1.000
crippling,9,1.000
crises,6,0.828
crisis,6,1.000
crisp,5,1.000
crisply,7,1.000
crispness,9,0.964
crispy,6,0.960
crisscross,10,1.000
crisscrossed,12,0.963
Cristo,6,0.962
criteria,8,0.960
criterion,9,0.885
critic,6,1.000
critical,8,1.000
criticality,11,0.286
critically,10,1.000
criticism,9,1.000
criticisms,10,1.000
criticize,9,1.000
criticized,10,1.000
criticizing,11,1.000
critics,7,1.000
critic's,8,1.000
critique,8,0.963
critter,7,1.000
critters,8,1.000
croak,5,0.885
croaked,7,0.960
croaking,8,0.920
croaks,6,0.962
crochet,7,0.920
crock,5,1.000
crocked,7,1.000
crockery,8,0.929
crocodile,9,1.000
crocus,6,0.520
croissant,9,0.923
Cromwell,8,1.000
Cromwellian,11,0.783
Cromwell's,10,0.962
crone,5,1.000
cronies,7,0.778
crony,5,0.857
crook,5,1.000
crooked,7,1.000
crooks,6,0.964
croon,5,0.960
crooned,7,0.926
crooning,8,0.931
crop,4,1.000
cropped,7,0.963
cropper,7,0.923
cropping,8,0.966
crops,5,1.000
croquet,7,0.846
croquette,9,0.852
cross,5,1.000
crossbar,8,1.000
crossbars,9,1.000
crossbeam,9,1.000
crossbones,10,1.000
crossbow,8,1.000
crossbreed,10,0.963
crosscheck,10,1.000
crosscountry,12,0.963
crosscurrent,12,0.889
crosscut,8,1.000
crossed,7,1.000
crosses,7,0.964
crosseyed,9,1.000
crossfire,9,1.000
crossing,8,1.000
crossings,9,1.000
crossover,9,1.000
crossroad,9,1.000
crossroads,10,1.000
crosswalk,9,1.000
crossways,9,1.000
crosswind,9,1.000
crosswise,9,0.964
crossword,9,1.000
crotch,6,0.963
crotchety,9,0.654
crouch,6,1.000
crouched,8,1.000
crouching,9,1.000
croup,5,0.600
crouton,7,1.000
crow,4,0.964
crowbait,8,0.750
crowbar,7,0.964
crowd,5,1.000
crowded,7,0.963
crowding,8,1.000
crowds,6,1.000
crowed,6,0.593
crowfoot,8,0.920
crowing,7,0.857
crown,5,1.000
crowned,7,1.000
crowning,8,0.964
crowns,6,1.000
crows,5,0.893
crucial,7,1.000
crucially,9,1.000
crucible,8,0.889
crucibles,9,0.960
crucified,9,1.000
crucifix,8,1.000
crucifixion,11,0.760
cruciform,9,0.800
crucify,7,1.000
crucifying,10,1.000
crude,5,1.000
crudely,7,0.964
crudest,7,1.000
cruel,5,1.000
cruelly,7,0.963
cruelty,7,1.000
cruise,6,1.000
cruiser,7,0.929
cruisers,8,0.958
cruises,7,0.926
cruising,8,1.000
crumb,5,1.000
crumble,7,1.000
crumbled,8,0.926
crumbling,9,1.000
crumbly,7,0.929
crummy,6,1.000
crumpet,7,0.885
crumple,7,1.000
crumpled,8,1.000
crunch,6,1.000
crunched,8,1.000
crunchy,7,1.000
crusade,7,1.000
crusader,8,0.962
crusaders,9,0.931
crusades,8,1.000
crusading,9,1.000
crush,5,1.000
crushed,7,1.000
crusher,7,0.920
crushers,8,1.000
crushing,8,1.000
crust,5,1.000
crustacean,10,0.913
crusty,6,1.000
crutch,6,0.962
crutches,8,1.000
crux,4,0.778
cry,3,1.000
crybaby,7,1.000
crying,6,1.000
crypt,5,1.000
cryptic,7,0.963
cryptogram,10,0.800
cryptographic,13,0.810
cryptography,12,0.880
crystal,7,1.000
crystalline,11,0.815
crystallite,11,0.963
crystallization,15,1.000
crystallize,11,1.000
crystallized,12,1.000
crystallizing,13,0.962
crystallographers,17,0.625
crystallography,15,0.917
crystals,8,1.000
cub,3,0.963
Cuba,4,1.000
Cuban,5,1.000
Cubans,6,1.000
Cuba's,6,1.000
cubbyhole,9,1.000
cube,4,1.000
cubed,5,1.000
cubes,5,1.000
cubic,5,1.000
cubical,7,1.000
cubicle,7,0.963
cubism,6,0.920
cubist,6,0.962
cubists,7,0.889
cubs,4,0.966
cub's,5,0.964
cuckold,7,0.727
cuckoo,6,0.875
cucumber,8,1.000
cud,3,0.963
cuddle,6,1.000
cudgels,7,0.458
cue,3,1.000
cues,4,1.000
cuff,4,1.000
cufflinks,9,1.000
cuffs,5,1.000
cuisine,7,0.957
culinary,8,1.000
cull,4,0.926
culminate,9,1.000
culminated,10,1.000
culminates,10,0.962
culminating,11,0.923
culmination,11,0.929
culpable,8,0.741
culprit,7,1.000
culprits,8,1.000
cult,4,1.000
